date,category,backbone,layers,coreset_pct,patchsize,seed,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc,paper_instance_auroc,paper_pixel_auroc,environment,notes
2026-05-11,metal_nut,wideresnet50,layer2+layer3,0.10,3,0,0.999,0.983,0.979,1.000,0.991,Colab T4 / torch 2.10.0+cu128 / faiss-cpu 1.13.2,baseline reproduction (PatchCore-10%)
2026-05-11,metal_nut,wideresnet50,layer2+layer3,0.10,3,0,1.000,0.985,0.983,1.000,0.991,Colab T4,Resolution Study (imagesize=324): Reached I-AUROC 1.0; P-AUROC improved
2026-05-11,metal_nut,wideresnet50,layer1+2+3,0.10,3,0,0.996,0.987,0.985,1.000,0.991,Colab T4,Backbone Features (layer1+2+3): Best P-AUROC; I-AUROC slightly dropped
2026-05-11,metal_nut,wideresnet50,layer2+layer3,0.10,2,0,0.999,0.971,0.964,1.000,0.991,Colab T4,Patch Parameters (patchsize=2): Significant drop in P-AUROC
2026-05-11,metal_nut,wideresnet50,layer2+layer3,0.25,3,0,0.999,0.983,0.979,1.000,0.991,Colab T4,Coreset Study (coreset_pct=0.25): No improvement over baseline
